song_key,song,artist,entry_date,exit_date,days_on_playlist,peak_position,peak_date,entry_to_peak_days,reentry_count,avg_position,rank_volatility,retention_stability_index,entry_popularity,peak_popularity,exit_popularity,album_type,is_explicit,duration_ms,total_tracks
degenere 👑 (feat. benny blanco) | myke towers,DEGENERE 👑 (feat. benny blanco),Myke Towers,2025-10-20,2025-11-27,39,1,2025-10-25,5,0,3.13,3.76,0.2099,58.0,71.0,84.0,album,True,130880,30
demo #5: nostalgia - spanglish version | flowgpt,DEMO #5: nostalgIA - Spanglish Version,FlowGPT,2024-11-08,2024-11-09,2,12,2024-11-09,1,0,16.0,4.0,0.2,39.0,45.0,45.0,single,True,220405,1
deportivo | blessd & anuel aa,DEPORTIVO,Blessd & Anuel AA,2025-11-16,2025-11-23,4,35,2025-11-23,7,1,43.5,6.65,0.1307,58.0,73.0,73.0,single,True,218701,1
desataaa | ovy on the drums & myke towers & saiko,DESATAAA,Ovy On The Drums & Myke Towers & SAIKO,2025-03-17,2025-07-09,113,6,2025-03-21,4,2,28.88,10.74,0.0852,60.0,69.0,73.0,single,True,197383,1
despechá | rosalía,DESPECHÁ,ROSALÍA,2024-05-22,2025-01-02,51,39,2024-06-12,21,8,47.02,2.96,0.2525,84.0,84.0,78.0,album,False,156787,24
después de la 1 | cris mj & floyymenor,Después De La 1,Cris Mj & FloyyMenor,2025-09-19,2025-11-23,63,11,2025-09-27,8,3,26.65,11.14,0.0824,77.0,84.0,86.0,single,True,177600,2
desquite | feid,DESQUITE,Feid,2024-12-02,2024-12-02,1,39,2024-12-02,0,0,39.0,0.0,1.0,0.0,0.0,0.0,album,False,133546,10
detrás del dj | rels b,Detrás del DJ,Rels B,2025-04-28,2025-04-28,1,39,2025-04-28,0,0,39.0,0.0,1.0,66.0,66.0,66.0,album,True,119354,13
diabla | los diozes,DIABLA,Los Diozes,2025-10-27,2025-11-20,25,17,2025-11-03,7,0,29.56,9.63,0.094,62.0,67.0,70.0,album,True,217945,8
diablita (feat. yovngchimi) | myke towers,DIABLITA (feat. YOVNGCHIMI),Myke Towers,2025-08-24,2025-09-04,9,34,2025-08-24,0,1,41.56,3.72,0.2121,0.0,0.0,70.0,album,True,185960,20
