kpi,value
Average Days on Playlist,48.26
Median Days on Playlist,13.0
Average Entry-to-Peak Time,9.49
Peak Conversion Rate (Top 10),0.2939
Average Daily Churn Rate,0.0705
Retention Stability Index (avg),0.2894
Re-entry Rate,0.4174
Explicit Content Lifecycle Score,36.46
Non-explicit Lifecycle Score,37.03
Single vs Album Longevity Ratio,1.4825
